epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4455.79,1.06567,0.58857,1.02851,0.96016,0.95217,0.98103,0.68479,1.11299,0.46661,1.00183,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,4594.52,1.05921,0.58199,1.0269,0.96122,0.95264,0.98168,0.68491,1.11264,0.46527,1.00155,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,4733.16,1.05383,0.58067,1.02447,0.9604,0.95242,0.98165,0.68535,1.11204,0.46426,1.00099,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,4872.07,1.04892,0.57606,1.02157,0.96003,0.95186,0.98151,0.68553,1.11112,0.46427,1.00054,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,5010.88,1.04573,0.5705,1.0192,0.96182,0.9517,0.98138,0.68554,1.11111,0.46342,1.00014,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,5150.04,1.04702,0.57144,1.02149,0.96137,0.9517,0.98142,0.6857,1.11068,0.46238,1.00001,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,5289.52,1.0371,0.56332,1.01666,0.96204,0.9517,0.98079,0.68545,1.11126,0.46151,0.99965,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,5434.08,1.03571,0.56051,1.01516,0.96159,0.95209,0.9809,0.68593,1.11118,0.46096,0.99907,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,5582.93,1.03195,0.55757,1.01514,0.96232,0.95209,0.98127,0.68644,1.11017,0.46008,0.99834,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,5735.9,1.02735,0.55225,1.01265,0.96376,0.95029,0.98113,0.68677,1.10912,0.45958,0.99773,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,5888.53,1.02069,0.54688,1.01081,0.96531,0.95044,0.98099,0.68627,1.10831,0.45857,0.99714,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,6035.85,1.01725,0.54733,1.00953,0.9651,0.95068,0.98088,0.68676,1.1082,0.45825,0.99702,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,6181.07,1.01783,0.54169,1.00758,0.9665,0.9506,0.98127,0.68684,1.10662,0.45814,0.9962,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,6322.31,1.00867,0.53396,1.00322,0.96832,0.95046,0.98115,0.68665,1.10701,0.45829,0.99573,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,6464.25,1.00299,0.52866,1.00289,0.96929,0.94931,0.98121,0.68762,1.10645,0.45779,0.99528,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,6603.68,0.99845,0.52825,1.00051,0.97048,0.94982,0.98132,0.68745,1.10706,0.4577,0.99503,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,6744.86,0.9941,0.52454,0.9985,0.97069,0.94945,0.97768,0.6874,1.10706,0.45722,0.99474,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,6882.98,0.99123,0.52115,0.99886,0.97075,0.9489,0.97774,0.68705,1.10819,0.45666,0.99509,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,7021.39,0.98671,0.51689,0.99605,0.97217,0.94908,0.97782,0.68718,1.10851,0.45658,0.99481,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,7159.32,0.93836,0.44938,0.96728,0.97304,0.9494,0.97828,0.68757,1.10831,0.45574,0.99453,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,7296.32,0.92836,0.44114,0.96472,0.97305,0.94976,0.9782,0.68826,1.1089,0.45542,0.99434,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,7432.39,0.91853,0.43495,0.95992,0.97382,0.94887,0.97811,0.68785,1.10855,0.45527,0.99429,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,7568.01,0.91102,0.4279,0.95786,0.9745,0.94997,0.97845,0.68821,1.10906,0.45411,0.99465,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,7703.88,0.90303,0.42136,0.95375,0.97579,0.94982,0.97841,0.68866,1.10813,0.45325,0.99478,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,7840.14,0.89262,0.41574,0.94955,0.97577,0.94873,0.97845,0.68943,1.10766,0.45295,0.9943,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,7975.12,0.88297,0.40858,0.94557,0.97569,0.94895,0.97831,0.68933,1.1081,0.45278,0.99423,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,8110.57,0.87703,0.40244,0.94305,0.97564,0.94809,0.97847,0.68878,1.10878,0.45249,0.99442,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,8246.5,0.86785,0.3957,0.94037,0.9761,0.94722,0.97834,0.68884,1.10996,0.45261,0.99494,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,8381.83,0.85874,0.39033,0.93709,0.97679,0.94513,0.97826,0.68871,1.11198,0.45239,0.99576,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
